family,record_id,native_before,native_after,native_change,qualification_before,qualification_after,scientific_action
evalplus,HumanEval/0,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/1,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/2,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/3,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/4,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/5,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/6,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/7,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/8,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
evalplus,HumanEval/9,"{""base"": ""pass"", ""plus"": ""pass""}","{""base"": ""pass"", ""plus"": ""pass""}",False,"{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}","{""base"": ""CONFORMS"", ""plus"": ""CONFORMS""}",CAPTURED_RELATIONSHIP_SUPPORTED
